"TIME","GEO","WAT_PROC","WAT_SRC","UNIT","Value","Flag and Footnotes"
"2010","Bulgaria","Water abstraction for public water supply","Fresh surface water","Million cubic metres","488.32",""
"2010","Bulgaria","Water abstraction for public water supply","Fresh surface water","Cubic metres per inhabitant","66.03",""
"2010","Bulgaria","Water abstraction for public water supply","Fresh groundwater","Million cubic metres","441.09",""
"2010","Bulgaria","Water abstraction for public water supply","Fresh groundwater","Cubic metres per inhabitant","59.64",""
"2010","Bulgaria","Water abstraction for agriculture","Fresh surface water","Million cubic metres","927.56",""
"2010","Bulgaria","Water abstraction for agriculture","Fresh surface water","Cubic metres per inhabitant","125.42",""
"2010","Bulgaria","Water abstraction for agriculture","Fresh groundwater","Million cubic metres","11.79",""
"2010","Bulgaria","Water abstraction for agriculture","Fresh groundwater","Cubic metres per inhabitant","1.59",""
"2010","Bulgaria","Water abstraction for agriculture - irrigation","Fresh surface water","Million cubic metres","749.59","e"
"2010","Bulgaria","Water abstraction for agriculture - irrigation","Fresh surface water","Cubic metres per inhabitant","101.36","e"
"2010","Bulgaria","Water abstraction for agriculture - irrigation","Fresh groundwater","Million cubic metres","3.76","e"
"2010","Bulgaria","Water abstraction for agriculture - irrigation","Fresh groundwater","Cubic metres per inhabitant","0.51","e"
"2010","Bulgaria","Water abstraction for agriculture - aquaculture","Fresh surface water","Million cubic metres","14.28",""
"2010","Bulgaria","Water abstraction for agriculture - aquaculture","Fresh surface water","Cubic metres per inhabitant","1.93",""
"2010","Bulgaria","Water abstraction for agriculture - aquaculture","Fresh groundwater","Million cubic metres","4.06",""
"2010","Bulgaria","Water abstraction for agriculture - aquaculture","Fresh groundwater","Cubic metres per inhabitant","0.55",""
"2010","Bulgaria","Water abstraction for mining and quarrying","Fresh surface water","Million cubic metres","11.48",""
"2010","Bulgaria","Water abstraction for mining and quarrying","Fresh surface water","Cubic metres per inhabitant","1.55",""
"2010","Bulgaria","Water abstraction for mining and quarrying","Fresh groundwater","Million cubic metres","10.52",""
"2010","Bulgaria","Water abstraction for mining and quarrying","Fresh groundwater","Cubic metres per inhabitant","1.42",""
"2010","Bulgaria","Water abstraction for manufacturing industry","Fresh surface water","Million cubic metres","81.41",""
"2010","Bulgaria","Water abstraction for manufacturing industry","Fresh surface water","Cubic metres per inhabitant","11.01",""
"2010","Bulgaria","Water abstraction for manufacturing industry","Fresh groundwater","Million cubic metres","72.83",""
"2010","Bulgaria","Water abstraction for manufacturing industry","Fresh groundwater","Cubic metres per inhabitant","9.85",""
"2010","Bulgaria","Water abstraction for manufacturing industry - cooling","Fresh surface water","Million cubic metres","35.61",""
"2010","Bulgaria","Water abstraction for manufacturing industry - cooling","Fresh surface water","Cubic metres per inhabitant","4.82",""
"2010","Bulgaria","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Million cubic metres","30.12",""
"2010","Bulgaria","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Cubic metres per inhabitant","4.07",""
"2010","Bulgaria","Water abstraction for production of electricity - cooling","Fresh surface water","Million cubic metres","3,486.15",""
"2010","Bulgaria","Water abstraction for production of electricity - cooling","Fresh surface water","Cubic metres per inhabitant","471.38",""
"2010","Bulgaria","Water abstraction for production of electricity - cooling","Fresh groundwater","Million cubic metres","4.92",""
"2010","Bulgaria","Water abstraction for production of electricity - cooling","Fresh groundwater","Cubic metres per inhabitant","0.67",""
"2010","Bulgaria","Water abstraction for construction","Fresh surface water","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction for construction","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water abstraction for construction","Fresh groundwater","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction for construction","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water abstraction for services","Fresh surface water","Million cubic metres","5.81",""
"2010","Bulgaria","Water abstraction for services","Fresh surface water","Cubic metres per inhabitant","0.79",""
"2010","Bulgaria","Water abstraction for services","Fresh groundwater","Million cubic metres","9.21",""
"2010","Bulgaria","Water abstraction for services","Fresh groundwater","Cubic metres per inhabitant","1.25",""
"2010","Bulgaria","Water abstraction for private households","Fresh surface water","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction for private households","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water abstraction for private households","Fresh groundwater","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction for private households","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water abstraction - net","Fresh surface water","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction - net","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water abstraction - net","Fresh groundwater","Million cubic metres",":",""
"2010","Bulgaria","Water abstraction - net","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water returned without use","Fresh surface water","Million cubic metres",":",""
"2010","Bulgaria","Water returned without use","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Bulgaria","Water returned without use","Fresh groundwater","Million cubic metres",":",""
"2010","Bulgaria","Water returned without use","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Czechia","Total gross abstraction","Fresh surface water","Million cubic metres","1,573.40",""
"2010","Czechia","Total gross abstraction","Fresh surface water","Cubic metres per inhabitant","150.21",""
"2010","Czechia","Total gross abstraction","Fresh groundwater","Million cubic metres","377.30",""
"2010","Czechia","Total gross abstraction","Fresh groundwater","Cubic metres per inhabitant","36.02",""
"2010","Czechia","Water abstraction for public water supply","Fresh surface water","Million cubic metres","349.00",""
"2010","Czechia","Water abstraction for public water supply","Fresh surface water","Cubic metres per inhabitant","33.32",""
"2010","Czechia","Water abstraction for public water supply","Fresh groundwater","Million cubic metres","313.50",""
"2010","Czechia","Water abstraction for public water supply","Fresh groundwater","Cubic metres per inhabitant","29.93",""
"2010","Czechia","Water abstraction for agriculture","Fresh surface water","Million cubic metres","25.30",""
"2010","Czechia","Water abstraction for agriculture","Fresh surface water","Cubic metres per inhabitant","2.42",""
"2010","Czechia","Water abstraction for agriculture","Fresh groundwater","Million cubic metres","11.50",""
"2010","Czechia","Water abstraction for agriculture","Fresh groundwater","Cubic metres per inhabitant","1.10",""
"2010","Czechia","Water abstraction for agriculture - irrigation","Fresh surface water","Million cubic metres","19.40",""
"2010","Czechia","Water abstraction for agriculture - irrigation","Fresh surface water","Cubic metres per inhabitant","1.85",""
"2010","Czechia","Water abstraction for agriculture - irrigation","Fresh groundwater","Million cubic metres","0.30",""
"2010","Czechia","Water abstraction for agriculture - irrigation","Fresh groundwater","Cubic metres per inhabitant","0.03",""
"2010","Czechia","Water abstraction for agriculture - aquaculture","Fresh surface water","Million cubic metres","5.70",""
"2010","Czechia","Water abstraction for agriculture - aquaculture","Fresh surface water","Cubic metres per inhabitant","0.54",""
"2010","Czechia","Water abstraction for agriculture - aquaculture","Fresh groundwater","Million cubic metres","0.00",""
"2010","Czechia","Water abstraction for agriculture - aquaculture","Fresh groundwater","Cubic metres per inhabitant","0.00",""
"2010","Czechia","Water abstraction for mining and quarrying","Fresh surface water","Million cubic metres","32.50",""
"2010","Czechia","Water abstraction for mining and quarrying","Fresh surface water","Cubic metres per inhabitant","3.10",""
"2010","Czechia","Water abstraction for mining and quarrying","Fresh groundwater","Million cubic metres","6.00",""
"2010","Czechia","Water abstraction for mining and quarrying","Fresh groundwater","Cubic metres per inhabitant","0.57",""
"2010","Czechia","Water abstraction for manufacturing industry","Fresh surface water","Million cubic metres","218.20",""
"2010","Czechia","Water abstraction for manufacturing industry","Fresh surface water","Cubic metres per inhabitant","20.83",""
"2010","Czechia","Water abstraction for manufacturing industry","Fresh groundwater","Million cubic metres","25.40",""
"2010","Czechia","Water abstraction for manufacturing industry","Fresh groundwater","Cubic metres per inhabitant","2.42",""
"2010","Czechia","Water abstraction for manufacturing industry - cooling","Fresh surface water","Million cubic metres","53.10",""
"2010","Czechia","Water abstraction for manufacturing industry - cooling","Fresh surface water","Cubic metres per inhabitant","5.07",""
"2010","Czechia","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Million cubic metres","1.20",""
"2010","Czechia","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Cubic metres per inhabitant","0.11",""
"2010","Czechia","Water abstraction for production of electricity - cooling","Fresh surface water","Million cubic metres","697.50",""
"2010","Czechia","Water abstraction for production of electricity - cooling","Fresh surface water","Cubic metres per inhabitant","66.59",""
"2010","Czechia","Water abstraction for production of electricity - cooling","Fresh groundwater","Million cubic metres","0.00",""
"2010","Czechia","Water abstraction for production of electricity - cooling","Fresh groundwater","Cubic metres per inhabitant","0.00",""
"2010","Czechia","Water abstraction for construction","Fresh surface water","Million cubic metres","0.00",""
"2010","Czechia","Water abstraction for construction","Fresh surface water","Cubic metres per inhabitant","0.00",""
"2010","Czechia","Water abstraction for construction","Fresh groundwater","Million cubic metres","0.20",""
"2010","Czechia","Water abstraction for construction","Fresh groundwater","Cubic metres per inhabitant","0.02",""
"2010","Czechia","Water abstraction for services","Fresh surface water","Million cubic metres","8.70",""
"2010","Czechia","Water abstraction for services","Fresh surface water","Cubic metres per inhabitant","0.83",""
"2010","Czechia","Water abstraction for services","Fresh groundwater","Million cubic metres","13.10",""
"2010","Czechia","Water abstraction for services","Fresh groundwater","Cubic metres per inhabitant","1.25",""
"2010","Czechia","Water abstraction for private households","Fresh surface water","Million cubic metres",":",""
"2010","Czechia","Water abstraction for private households","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Czechia","Water abstraction for private households","Fresh groundwater","Million cubic metres",":",""
"2010","Czechia","Water abstraction for private households","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Czechia","Water abstraction - net","Fresh surface water","Million cubic metres",":",""
"2010","Czechia","Water abstraction - net","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Czechia","Water abstraction - net","Fresh groundwater","Million cubic metres",":",""
"2010","Czechia","Water abstraction - net","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Czechia","Water returned without use","Fresh surface water","Million cubic metres",":",""
"2010","Czechia","Water returned without use","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Czechia","Water returned without use","Fresh groundwater","Million cubic metres",":",""
"2010","Czechia","Water returned without use","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Denmark","Total gross abstraction","Fresh surface water","Million cubic metres","258.65","b"
"2010","Denmark","Total gross abstraction","Fresh surface water","Cubic metres per inhabitant","46.62","b"
"2010","Denmark","Total gross abstraction","Fresh groundwater","Million cubic metres","684.00","b"
"2010","Denmark","Total gross abstraction","Fresh groundwater","Cubic metres per inhabitant","123.29","b"
"2010","Denmark","Water abstraction for public water supply","Fresh surface water","Million cubic metres","4.06","b"
"2010","Denmark","Water abstraction for public water supply","Fresh surface water","Cubic metres per inhabitant","0.73","b"
"2010","Denmark","Water abstraction for public water supply","Fresh groundwater","Million cubic metres","402.30","b"
"2010","Denmark","Water abstraction for public water supply","Fresh groundwater","Cubic metres per inhabitant","72.52","b"
"2010","Denmark","Water abstraction for agriculture","Fresh surface water","Million cubic metres","251.73","b"
"2010","Denmark","Water abstraction for agriculture","Fresh surface water","Cubic metres per inhabitant","45.37","b"
"2010","Denmark","Water abstraction for agriculture","Fresh groundwater","Million cubic metres","242.07","b"
"2010","Denmark","Water abstraction for agriculture","Fresh groundwater","Cubic metres per inhabitant","43.63","b"
"2010","Denmark","Water abstraction for agriculture - irrigation","Fresh surface water","Million cubic metres","4.51","b"
"2010","Denmark","Water abstraction for agriculture - irrigation","Fresh surface water","Cubic metres per inhabitant","0.81","b"
"2010","Denmark","Water abstraction for agriculture - irrigation","Fresh groundwater","Million cubic metres","196.20","b"
"2010","Denmark","Water abstraction for agriculture - irrigation","Fresh groundwater","Cubic metres per inhabitant","35.37","b"
"2010","Denmark","Water abstraction for agriculture - aquaculture","Fresh surface water","Million cubic metres","247.22","b"
"2010","Denmark","Water abstraction for agriculture - aquaculture","Fresh surface water","Cubic metres per inhabitant","44.56","b"
"2010","Denmark","Water abstraction for agriculture - aquaculture","Fresh groundwater","Million cubic metres","45.87","b"
"2010","Denmark","Water abstraction for agriculture - aquaculture","Fresh groundwater","Cubic metres per inhabitant","8.27","b"
"2010","Denmark","Water abstraction for mining and quarrying","Fresh surface water","Million cubic metres","0.48","b"
"2010","Denmark","Water abstraction for mining and quarrying","Fresh surface water","Cubic metres per inhabitant","0.09","b"
"2010","Denmark","Water abstraction for mining and quarrying","Fresh groundwater","Million cubic metres","7.86","b"
"2010","Denmark","Water abstraction for mining and quarrying","Fresh groundwater","Cubic metres per inhabitant","1.42","b"
"2010","Denmark","Water abstraction for manufacturing industry","Fresh surface water","Million cubic metres","2.25","b"
"2010","Denmark","Water abstraction for manufacturing industry","Fresh surface water","Cubic metres per inhabitant","0.40","b"
"2010","Denmark","Water abstraction for manufacturing industry","Fresh groundwater","Million cubic metres","22.12","b"
"2010","Denmark","Water abstraction for manufacturing industry","Fresh groundwater","Cubic metres per inhabitant","3.99","b"
"2010","Denmark","Water abstraction for manufacturing industry - cooling","Fresh surface water","Million cubic metres",":",""
"2010","Denmark","Water abstraction for manufacturing industry - cooling","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Denmark","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Million cubic metres",":",""
"2010","Denmark","Water abstraction for manufacturing industry - cooling","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Denmark","Water abstraction for production of electricity - cooling","Fresh surface water","Million cubic metres","0.00","b"
"2010","Denmark","Water abstraction for production of electricity - cooling","Fresh surface water","Cubic metres per inhabitant","0.00","b"
"2010","Denmark","Water abstraction for production of electricity - cooling","Fresh groundwater","Million cubic metres","1.05","b"
"2010","Denmark","Water abstraction for production of electricity - cooling","Fresh groundwater","Cubic metres per inhabitant","0.19","b"
"2010","Denmark","Water abstraction for construction","Fresh surface water","Million cubic metres","0.00",""
"2010","Denmark","Water abstraction for construction","Fresh surface water","Cubic metres per inhabitant","0.00",""
"2010","Denmark","Water abstraction for construction","Fresh groundwater","Million cubic metres","0.00","b"
"2010","Denmark","Water abstraction for construction","Fresh groundwater","Cubic metres per inhabitant","0.00","b"
"2010","Denmark","Water abstraction for services","Fresh surface water","Million cubic metres","0.14","b"
"2010","Denmark","Water abstraction for services","Fresh surface water","Cubic metres per inhabitant","0.03","b"
"2010","Denmark","Water abstraction for services","Fresh groundwater","Million cubic metres","8.60","b"
"2010","Denmark","Water abstraction for services","Fresh groundwater","Cubic metres per inhabitant","1.55","b"
"2010","Denmark","Water abstraction for private households","Fresh surface water","Million cubic metres","0.00","b"
"2010","Denmark","Water abstraction for private households","Fresh surface water","Cubic metres per inhabitant","0.00","b"
"2010","Denmark","Water abstraction for private households","Fresh groundwater","Million cubic metres","0.00","b"
"2010","Denmark","Water abstraction for private households","Fresh groundwater","Cubic metres per inhabitant","0.00","b"
"2010","Denmark","Water abstraction - net","Fresh surface water","Million cubic metres",":",""
"2010","Denmark","Water abstraction - net","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Denmark","Water abstraction - net","Fresh groundwater","Million cubic metres",":",""
"2010","Denmark","Water abstraction - net","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Denmark","Water returned without use","Fresh surface water","Million cubic metres",":",""
"2010","Denmark","Water returned without use","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Denmark","Water returned without use","Fresh groundwater","Million cubic metres",":",""
"2010","Denmark","Water returned without use","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh surface water","Million cubic metres","27,195.00",""
"2010","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh surface water","Cubic metres per inhabitant","332.55",""
"2010","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh groundwater","Million cubic metres","5,841.00",""
"2010","Germany (until 1990 former territory of the FRG)","Total gross abstraction","Fresh groundwater","Cubic metres per inhabitant","71.43",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh surface water","Million cubic metres","1,545.80",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh surface water","Cubic metres per inhabitant","18.90",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh groundwater","Million cubic metres","3,534.90",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for public water supply","Fresh groundwater","Cubic metres per inhabitant","43.23",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh surface water","Million cubic metres","54.10",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh surface water","Cubic metres per inhabitant","0.66",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh groundwater","Million cubic metres","156.80",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture","Fresh groundwater","Cubic metres per inhabitant","1.92",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - irrigation","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - irrigation","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - irrigation","Fresh groundwater","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - irrigation","Fresh groundwater","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - aquaculture","Fresh surface water","Million cubic metres",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - aquaculture","Fresh surface water","Cubic metres per inhabitant",":",""
"2010","Germany (until 1990 former territory of the FRG)","Water abstraction for agriculture - aquaculture","Fresh groundwater","Million cubic metres",":",""
